sample_id,drone_type,class_id,split,start_time,center_time,end_time,mel_path,gcc_path,x,y,z
Avata_000289,Avata,0,train,1692848924.8901331,1692848925.8901331,1692848926.8901331,outputs\mmaud_spectrograms_2s\Avata\Avata_000289.npz,outputs\experiments\gcc_phat_multitask_2s_weighted_100ep\features\gcc_phat\Avata\Avata_000289_gcc.npz,0.13301759958267212,-0.4905039370059967,3.112342357635498
Avata_001124,Avata,0,train,1692849133.6401331,1692849134.6401331,1692849135.6401331,outputs\mmaud_spectrograms_2s\Avata\Avata_001124.npz,outputs\experiments\gcc_phat_multitask_2s_weighted_100ep\features\gcc_phat\Avata\Avata_001124_gcc.npz,-1.6546436548233032,-4.642919063568115,18.427291870117188
Avata_000198,Avata,0,train,1692848902.1401331,1692848903.1401331,1692848904.1401331,outputs\mmaud_spectrograms_2s\Avata\Avata_000198.npz,outputs\experiments\gcc_phat_multitask_2s_weighted_100ep\features\gcc_phat\Avata\Avata_000198_gcc.npz,0.8513815402984619,0.6562749147415161,3.1697540283203125
Avata_000419,Avata,0,train,1692848957.3901331,1692848958.3901331,1692848959.3901331,outputs\mmaud_spectrograms_2s\Avata\Avata_000419.npz,outputs\experiments\gcc_phat_multitask_2s_weighted_100ep\features\gcc_phat\Avata\Avata_000419_gcc.npz,2.7064502239227295,7.788723468780518,2.9934098720550537
Avata_000727,Avata,0,train,1692849034.3901331,1692849035.3901331,1692849036.3901331,outputs\mmaud_spectrograms_2s\Avata\Avata_000727.npz,outputs\experiments\gcc_phat_multitask_2s_weighted_100ep\features\gcc_phat\Avata\Avata_000727_gcc.npz,-0.961348295211792,-3.83233904838562,8.16298770904541
Avata_000784,Avata,0,train,1692849048.6401331,1692849049.6401331,1692849050.6401331,outputs\mmaud_spectrograms_2s\Avata\Avata_000784.npz,outputs\experiments\gcc_phat_multitask_2s_weighted_100ep\features\gcc_phat\Avata\Avata_000784_gcc.npz,0.600075900554657,0.23857659101486206,8.67488956451416
Avata_000605,Avata,0,train,1692849003.8901331,1692849004.8901331,1692849005.8901331,outputs\mmaud_spectrograms_2s\Avata\Avata_000605.npz,outputs\experiments\gcc_phat_multitask_2s_weighted_100ep\features\gcc_phat\Avata\Avata_000605_gcc.npz,1.9213991165161133,5.100363254547119,8.044368743896484
Avata_000601,Avata,0,train,1692849002.8901331,1692849003.8901331,1692849004.8901331,outputs\mmaud_spectrograms_2s\Avata\Avata_000601.npz,outputs\experiments\gcc_phat_multitask_2s_weighted_100ep\features\gcc_phat\Avata\Avata_000601_gcc.npz,2.181090831756592,6.3605170249938965,8.103769302368164
Avata_000698,Avata,0,train,1692849027.1401331,1692849028.1401331,1692849029.1401331,outputs\mmaud_spectrograms_2s\Avata\Avata_000698.npz,outputs\experiments\gcc_phat_multitask_2s_weighted_100ep\features\gcc_phat\Avata\Avata_000698_gcc.npz,-0.6952658295631409,-2.7137136459350586,8.15735149383545
Avata_000277,Avata,0,train,1692848921.8901331,1692848922.8901331,1692848923.8901331,outputs\mmaud_spectrograms_2s\Avata\Avata_000277.npz,outputs\experiments\gcc_phat_multitask_2s_weighted_100ep\features\gcc_phat\Avata\Avata_000277_gcc.npz,0.6818523406982422,-0.8468465805053711,3.1046180725097656
Avata_000341,Avata,0,train,1692848937.8901331,1692848938.8901331,1692848939.8901331,outputs\mmaud_spectrograms_2s\Avata\Avata_000341.npz,outputs\experiments\gcc_phat_multitask_2s_weighted_100ep\features\gcc_phat\Avata\Avata_000341_gcc.npz,-0.9557008743286133,0.6217490434646606,3.126145362854004
Avata_000793,Avata,0,train,1692849050.8901331,1692849051.8901331,1692849052.8901331,outputs\mmaud_spectrograms_2s\Avata\Avata_000793.npz,outputs\experiments\gcc_phat_multitask_2s_weighted_100ep\features\gcc_phat\Avata\Avata_000793_gcc.npz,0.8239750266075134,1.2917454242706299,8.766792297363281
Avata_000788,Avata,0,train,1692849049.6401331,1692849050.6401331,1692849051.6401331,outputs\mmaud_spectrograms_2s\Avata\Avata_000788.npz,outputs\experiments\gcc_phat_multitask_2s_weighted_100ep\features\gcc_phat\Avata\Avata_000788_gcc.npz,0.8278138041496277,0.6618372201919556,8.712141036987305
